#Version 6.6.1.20 
Iterations,0,
#New best, Iteration, Feasible,Objective,[Balked Counter],[Coffee Orders],[Fruit Counter],[Other Orders Records],[Serviced Customers],[Soft Drink Orders],[Total Cake orders],[Total Tea Orders],[BaristaCap],[FourSeaterTable],[LongTableSeater],[Tray],[TwoSeaterTable],
#, , , ,,,,,,,,,discrete (10 15 1), discrete (1 1 1), discrete (0 20 10), discrete (3 8 1), discrete (1 7 1), 
*,1,,2543.4,41,400,194,222,360,155,286,226,11,1,0,4,2,
*,2,,2593.9,37,404,195,216,349,146,306,237,13,1,10,6,4,
*,3,,2615.8,34,399,213,217,340,158,302,242,14,1,20,7,5,
*,4,,2895.15,25,443,224,248,406,186,331,257,15,1,20,8,6,
,5,,2163.3,97,343,165,173,316,136,252,181,10,1,0,3,1,
,6,,2652.8,26,424,209,213,360,180,302,206,15,1,20,8,7,
,7,,2204.4,103,348,168,201,311,130,246,192,10,1,20,7,1,
*,8,,2966.55,39,431,218,242,326,205,357,270,13,1,20,3,7,
,9,,2228.75,99,339,162,200,319,150,255,188,10,1,20,7,6,
,10,,2954.65,17,459,226,254,410,193,331,263,15,1,0,8,6,
,11,,2194.1,84,333,174,177,282,141,254,204,10,1,10,4,6,
,12,,2403.6,50,363,175,223,343,140,274,232,11,1,0,8,3,
,13,,2623.5,45,393,192,223,316,169,310,236,15,1,0,4,4,
,14,,2738.15,33,407,202,223,308,165,331,263,13,1,10,3,2,
,15,,2433.9,38,377,180,216,355,149,276,221,14,1,10,8,1,
,16,,2755.75,26,415,217,222,324,177,325,249,12,1,0,5,6,
,17,,2594.5,37,388,193,223,301,180,300,226,14,1,20,3,7,
,18,,2688.4,37,433,213,244,308,169,286,232,12,1,20,3,7,
*,19,,2983.8,25,444,209,259,389,215,352,243,15,1,10,7,6,
,20,,2743.05,25,416,215,238,384,191,307,239,15,1,10,8,7,
,21,,2571.65,37,393,185,220,295,162,301,230,15,1,20,3,6,
,22,,2556.75,18,373,198,212,351,167,305,236,13,1,0,8,7,
,23,,2233.5,97,334,162,172,249,160,270,190,10,1,20,3,7,
,24,,2778.9,8,438,218,236,315,163,316,249,13,1,20,4,7,
,25,,2956.5,17,441,227,239,410,195,350,269,15,1,0,7,6,
,26,,2896.95,29,444,208,262,388,177,333,260,15,1,0,6,5,
,27,,2798.8,25,415,215,248,385,187,322,248,15,1,20,7,6,
,28,,2791.85,37,436,229,226,354,171,319,250,14,1,20,6,4,
,29,,2716.5,56,411,197,250,303,164,310,255,12,1,0,4,5,
,30,,2681.1,34,405,191,251,318,168,304,246,15,1,0,3,7,
,31,,2603,32,403,178,224,317,147,310,241,14,1,10,5,5,
,32,,2809.4,25,408,223,239,384,190,326,263,15,1,10,8,6,
,33,,2778.5,8,410,205,248,343,179,320,265,14,1,20,4,7,
,34,,2966.55,39,431,218,242,326,205,357,270,13,1,10,3,7,
,35,,2778.9,8,438,218,236,315,163,316,249,13,1,10,4,6,
,36,,2566.2,22,407,197,225,345,161,288,213,15,1,10,6,6,
,37,,2911.75,37,418,202,249,397,197,355,264,15,1,10,8,5,
,38,,2778.5,8,410,205,248,343,179,320,265,14,1,10,4,7,
,39,,2571.65,37,393,185,220,295,162,301,230,15,1,10,3,7,
,40,,2821.7,25,429,196,240,369,166,338,263,13,1,10,7,6,
,41,,2603,32,403,178,224,317,147,310,241,14,1,10,5,7,
,42,,2953.8,26,476,216,279,339,170,322,259,15,1,0,3,1,
,43,,2653.7,22,405,219,199,354,161,318,242,14,1,10,6,6,
,44,,2233.5,97,334,162,172,249,160,270,190,10,1,20,3,3,
,45,,2185.85,115,332,155,174,316,130,269,198,10,1,0,8,1,
,46,,2858.6,33,454,209,233,293,141,344,269,15,1,20,3,1,
,47,,2637.15,33,406,197,240,355,155,301,238,14,1,0,4,2,
,48,,2629.3,34,396,210,212,313,155,312,250,11,1,0,5,7,
,49,,2225.55,95,344,167,190,308,137,257,199,10,1,20,8,4,
,50,,2778.9,8,438,218,236,315,163,316,249,13,1,20,4,6,
,51,,2643.2,39,416,201,218,381,152,308,239,13,1,10,8,1,
,52,,2157.3,127,339,168,198,309,129,232,206,10,1,0,5,3,
,53,,2688.4,37,433,213,244,308,169,286,232,12,1,10,3,4,
,54,,2591.75,15,403,206,233,362,168,285,223,15,1,10,6,5,
,55,,2769.3,31,434,212,260,389,166,302,250,15,1,10,7,7,
,56,,2807.7,31,421,209,225,317,177,338,258,15,1,20,3,2,
,57,,2755,27,421,202,238,364,164,320,260,15,1,10,7,1,
,58,,2459.65,20,379,187,199,345,138,291,238,15,1,10,7,4,
,59,,2829.1,31,422,218,225,295,170,344,263,14,1,20,3,2,
,60,,2458.75,33,387,190,199,274,146,285,222,14,1,20,3,1,
